"","MM13","MM14","MM15","MM16","MM17","MM18","MM19","MM20","MM21"
"nbis-gene-841",1826.09759947272,1742.56496693326,1774.50487877424,2220.54345933164,1988.94425452697,1924.15845287289,1076.26523677866,1400.29343706246,1488.51619414053
"nbis-gene-842",4305.81039147352,4501.71619169926,5031.63828799449,4342.58871695411,4180.55599948813,4879.75952210321,8893.11032501904,7259.3169176746,6884.26409470295
"nbis-gene-843",1232.85650103357,1451.95741820106,1330.23291494721,986.557988319098,1094.18884463137,1017.02944442579,892.152281807022,854.480134981661,942.036425052489
"nbis-gene-844",4392.43409168809,4807.44829687106,5048.4276354647,3745.29562178968,3922.90956218084,3958.21734172448,3611.79611666588,3620.24788466349,3926.96021794132
"nbis-gene-845",1133.10799775619,1135.42205842955,1230.7883183929,1031.47316829848,1070.47243617631,923.343826870184,910.336277359776,939.175302545923,953.873531964143
"nbis-gene-846",26637.2253094144,31680.5441136503,25262.8019895945,5366.18202911586,5404.10707205621,5573.393421313,55929.4243213849,35801.5883868307,31598.1704750852
"nbis-gene-847",3584.82120988966,3985.32062183311,3565.79910501868,1874.61777492902,1748.54611427791,1821.46460286001,3154.92322840292,3365.22132455333,3447.55738801932
"nbis-gene-848",6213.28176993568,6325.30556813035,5952.46942232203,2096.04173237125,2262.76097032635,2056.57946999476,5982.53453685626,6264.61922750321,6956.27316174885
"nbis-gene-849",4037.18942212128,3953.99118349395,4161.17519607758,3430.10137632032,3324.60925797354,3473.57443552335,2274.13594381637,2947.3918312363,3218.706654394
"nbis-gene-850",12722.3091022201,11756.1016554047,11747.3772760775,11755.1693847798,11112.2153797637,12075.5356089706,5629.08312329959,7581.15855441879,8559.21472270204
"nbis-gene-851",14635.0304019074,13798.9971002099,13545.1289436566,16442.8958005229,15762.7874740886,16665.2300459497,5704.0921049547,8114.73811007364,9754.76252077912
"nbis-gene-852",2138.46791236767,2430.73228493481,2378.92138770171,1665.0136016919,1633.19812770101,1657.5147721377,1385.39316117549,1381.47228871484,1324.76954852931
"nbis-gene-853",3862.19204795044,3760.61292615914,3635.53947143339,2950.21813759321,2978.56529824283,3103.33608152955,2234.35845354472,2641.54817058758,2520.3173466064
"nbis-gene-854",7853.00716591645,7825.8776320301,7477.71706557703,6609.62332749249,6035.82595181383,6224.68862797363,4205.0489715745,4482.2564789842,5035.70256533294
"nbis-gene-855",424.368632364287,449.415391347946,397.778386217224,263.187194966916,254.41238160887,283.759322404008,213.661947744866,207.03263182375,218.000052289634
"nbis-gene-856",3320.57517489169,3400.86454798879,3204.18239027575,2179.56820742063,2165.73929937381,2107.02557175547,2351.41792491558,2036.4482512118,1945.23123581519
"nbis-gene-857",6010.2848158975,6525.16577822499,5967.96728152529,4456.84663093676,4157.91760959921,4592.39690671629,3422.000663084,3177.00984107719,3265.06865646465
"nbis-gene-858",2491.08762132191,2531.20255271211,2623.01267015319,1436.49777372661,1431.60865583296,1630.49007476589,1012.62125234402,1058.68959455327,1144.25366812658
"nbis-gene-859",3831.56750747054,3731.44413873992,3055.66123957776,3130.66684312442,3207.10523426436,2218.72765422562,3029.90825897773,2687.65998403923,3268.02793319256
"nbis-gene-860",68466.8476574703,68087.5121146738,74744.8834490968,53551.5023052444,54940.1382047223,53771.0403606909,82267.8053798279,72100.9961474559,74118.0449273235
"nbis-gene-861",23445.2732045383,23582.4244657075,21504.5711328019,21856.3569664591,20241.9546163973,22596.2502958163,13355.0082337762,13617.1008294985,14200.5825916813
"nbis-gene-862",2921.58116178218,2877.98702536281,2792.1976331222,4474.18231443757,4197.80429654636,4521.23187030386,3140.14873201631,3462.15023854354,3611.30403363054
"nbis-gene-863",6202.78192748543,6463.58722700664,6627.91778593114,4668.02677540123,5002.00614688626,4922.9990378981,5388.14518222559,5666.1067100491,5135.33154850603
"nbis-gene-864",3198.0770129721,2888.79027996252,3249.38447961862,1985.72374645697,2225.03032051148,2089.90993008666,2307.09443575574,2264.18414621793,2289.49376182914
"nbis-gene-865",7158.26759045821,6406.32997762817,7008.90682467816,4682.21051644735,4646.2600200603,4267.19971500884,4524.40539346975,4481.31542156682,4626.33595130489
"nbis-gene-866",3516.57223396303,3448.39886822751,3515.43106260806,1969.17604856983,1847.72382236273,1856.59670944336,1784.30456361404,1633.67567657287,1641.41215841606
"nbis-gene-867",6500.27746357586,6275.61059697168,6164.27349810003,3665.70907480866,3694.36962615932,3523.11971403833,2383.2399171329,2923.86539580179,3104.28128758134
"nbis-gene-868",5810.78780934275,5368.13721059602,5659.30158572686,3605.82216816948,3452.89346734412,3487.98760745498,1535.41112448571,2082.56006466345,2311.1951245005
"nbis-gene-869",2575.08636092391,2554.96971283147,2499.02979652704,2081.85799132513,2032.06499717254,2061.0835862234,1176.27721231881,1218.66935550799,1377.05010405578
"nbis-gene-870",17516.3621676302,16935.1819105058,16873.2942075585,23213.2681932047,21496.7682273834,24949.2006136552,12220.7815111731,15660.136482632,16384.5288168815
