Geneid,MM13,MM14,MM15,MM16,MM17,MM18,MM19,MM20,MM21
nbis-gene-564,10847,8944,6615,27471,20647,23177,27805,27452,23487
nbis-gene-565,6349,5270,4178,11395,8044,11358,9572,10154,8891
nbis-gene-566,17906,14530,12115,23780,17031,22403,16174,18353,16270
nbis-gene-567,18305,19088,12145,12719,9697,8779,6020,7001,6803
nbis-gene-568,18946,14449,11340,23039,17997,19043,16452,19233,18934
nbis-gene-569,41303,32949,26057,57712,44963,53093,35613,46194,45390
nbis-gene-570,31014,22323,19097,44116,32759,42827,29784,40070,38167
nbis-gene-571,9356,7337,6066,10752,7569,10069,5613,7542,7884
nbis-gene-572,7061,5527,4635,7553,5461,7494,4281,5533,5666
nbis-gene-573,1893,1464,1256,2016,1539,1627,1065,1218,1237
nbis-gene-574,2501,1969,1579,2725,1893,2544,1679,1861,1792
nbis-gene-575,12449,9522,7737,13848,9131,11748,8362,10337,10210
nbis-gene-576,5093,4477,3529,5483,3996,4630,3925,4546,4330
nbis-gene-577,45339,46035,39709,33898,28812,32313,19181,28919,28467
nbis-gene-578,2919,2185,1817,3051,2231,2782,1817,2263,2064
nbis-gene-579,4659,3672,3159,5371,3960,4937,3535,4062,3806
nbis-gene-580,15896,12703,10517,20552,14612,18291,7045,11602,12354
nbis-gene-581,23802,22228,18001,26284,21091,25473,13544,18204,18369
nbis-gene-582,4163,3028,2563,3992,2845,3025,1949,2402,2492
nbis-gene-583,5736,4630,3929,5605,3732,4491,3128,3964,3681
nbis-gene-584,23622,18036,14820,14357,9396,12845,4040,6222,6495
nbis-gene-585,18493,14850,11996,9854,6562,8742,3735,5116,5274
nbis-gene-586,4065,3175,2665,2350,1580,1863,684,1136,1238
nbis-gene-587,4521,3480,3097,2457,1816,1979,920,1419,1647
nbis-gene-588,1525,1260,797,807,570,487,383,529,573
nbis-gene-589,33171,33112,28068,45260,34863,40075,67477,67999,57210
nbis-gene-590,26384,19927,16759,30229,20181,28815,10605,14854,14797
nbis-gene-591,13356,13293,9762,8581,6311,8470,3799,5295,5422
nbis-gene-592,1671,1357,1169,1335,1163,1289,757,955,988
nbis-gene-593,9863,6945,6202,12315,9673,10414,5887,8440,8929
nbis-gene-594,5067,4122,3089,8194,5743,7291,3991,5540,5882
nbis-gene-595,3771,3148,2650,5692,4146,5043,3634,4498,4330
nbis-gene-596,4234,3888,3054,6494,4833,5213,3734,4563,4459
